id,degree_all,eigen_all,close_all,between_all,cluster_all,component_all,component_size_all
1946-079,5,2.0832268537382477e-4,2.730673657191229e-5,754.7402460440501,193,1,8522
1946-080,2,3.3832416439859666e-4,2.7742329245963494e-5,0,26,1,8522
1946-082,16,0.013689655779747206,3.4347736484165694e-5,8981.742637301046,1,1,8522
1946-083,7,3.1135837585358715e-4,2.744463045805088e-5,686.0205419483572,16,1,8522
1946-084,31,0.01483093163842585,3.435835767050335e-5,9848.243211557554,36,1,8522
1946-085,10,3.0771776008686806e-4,2.7739251040221915e-5,2428.211566547703,51,1,8522
1946-086,4,0.005835273157898444,3.1677648251393816e-05,9408.078448494503,52,1,8522
1946-087,2,1.9451667712405894e-4,2.7139251499443645e-5,78.84202519073366,106,1,8522
1946-088,10,0.0010527453340179963,2.989894157746816e-5,6142.861777819111,45,1,8522
1946-089,8,0.014273635052310924,3.19693094629156e-5,1848.1444014584545,15,1,8522
1946-090,1,3.2492449025354586e-4,2.764951475101612e-5,0,220,1,8522
1946-091,12,0.009421943029648314,3.3027280533720854e-5,1670.5001205087397,29,1,8522
1946-092,13,0.013324718171498542,3.398586188145732e-5,10403.072658331716,1,1,8522
1946-094,7,0.002698982131328164,3.130772361541592e-5,5145.459164218627,1,1,8522
1946-095,49,0.1494688080581303,3.539572419651706e-5,6407.358671992254,89,1,8522
1946-096,2,1.1108044494450821e-4,2.52518875785965e-5,0,52,1,8522
1946-097,3,3.3317105010013097e-4,2.7824925568324105e-5,8875.974700346824,221,1,8522
1946-098,102,0.05934651750048198,3.865630677645058e-5,100554.80394590688,39,1,8522
1946-099,3,0.00189676163587501,2.963665461442712e-5,36.61324215731764,29,1,8522
1946-100,2,0.0020525418263385316,3.0175925646519204e-5,23.649290463858225,1,1,8522
1946-101,15,0.002673302695310674,3.084801184563655e-5,30833.514998354432,79,1,8522
1946-102,32,0.11718609728947936,3.5665882017262285e-5,8976.136902599957,49,1,8522
1946-103,3,2.3260524227346725e-4,2.735753563319016e-5,363.71768085875084,181,1,8522
1946-104,3,0.0020439844485581156,2.8956131460836834e-5,78.49057292198297,29,1,8522
1946-105,4,0.0023578159911046823,3.0316810671517358e-5,264.2797525051981,1,1,8522
1946-106,13,0.003856227000653812,3.191930798940279e-5,3548.605022766571,1,1,8522
1946-107,10,0.006368319670976755,3.128128128128128e-5,1291.4421165141184,20,1,8522
1946-108,6,3.6771339406637397e-4,2.7670171555063644e-5,303.2359242563623,55,1,8522
1946-109,4,5.610345187199412e-4,2.7397260273972603e-5,257.75306509654746,3,1,8522
1946-110,14,0.015789387610571068,3.4223134839151266e-5,12732.366778929825,1,1,8522
1946-111,19,0.008087881888134033,3.410059676044331e-5,15013.01293128325,1,1,8522
1946-112,12,0.017066462909392732,3.1092593744170135e-5,1065.265864657532,5,1,8522
1946-113,12,0.009029761679610311,3.2328979697400746e-5,5644.053758149686,29,1,8522
1946-114,82,0.1379897217957656,4.00576830636116e-5,134179.49085585785,29,1,8522
1946-115,9,0.0015512974147853056,2.9737123825383608e-5,1274.6771853505568,7,1,8522
1946-116,5,0.003965472020207289,3.1812686899535535e-5,714.5390302713977,90,1,8522
1946-117,10,8.339140108009506e-4,2.9008209323238475e-5,930.5948509364977,28,1,8522
1946-119,11,0.0022982910099088706,3.127736769673464e-5,6167.7449952356665,1,1,8522
1946-120,8,0.0011449610591628375,2.9468969175458244e-5,1599.708845620853,1,1,8522
1946-121,2,3.8651124029906516e-5,2.4948232417733204e-5,0,210,1,8522
1946-123,15,0.01267895006085991,3.3740468317700245e-5,8215.930981920726,14,1,8522
1946-124,16,0.01880998031419575,3.383522246658772e-5,3556.05259805274,1,1,8522
1946-125,32,0.08989716547528098,3.6091962319991336e-5,16335.86854865747,29,1,8522
1946-126,65,0.2374414407227085,3.930972129407603e-5,53401.63455804416,29,1,8522
1946-127,7,5.326029302151295e-4,2.8812631457631024e-5,3039.870701588266,1,1,8522
1946-128,17,0.017628827986112334,3.206155819172812e-5,3515.052218520471,125,1,8522
1946-129,5,0.0019970050573654254,2.764263600176913e-5,31.321029414151152,125,1,8522
1946-130,12,0.0015310031255984973,3.052037234854265e-5,5782.070892956074,1,1,8522
1946-131,2,1.8917051182849924e-4,2.6264642538215056e-5,130.30580129316468,51,1,8522
1946-132,32,0.04863100985192077,3.564172933670742e-5,24058.728626037147,5,1,8522
1946-133,60,0.02118631479066262,3.6832412523020256e-5,110765.08094156292,1,1,8522
1946-134,24,0.006703735275032805,3.248862897985705e-5,16763.17258813112,16,1,8522
1946-135,8,6.177353411532606e-4,2.800571316548576e-5,11677.898265868122,88,1,8522
1946-136,19,0.04136440205142365,3.6141530232390037e-5,11973.542432640681,49,1,8522
1946-137,15,0.0026904661857433563,3.094921234254588e-5,6247.797773886618,21,1,8522
1946-138,28,0.05785312165286207,3.502258957027283e-5,11278.422679076772,49,1,8522
1946-139,26,0.017618627341918883,3.54421407052986e-5,26332.70942845023,1,1,8522
1946-140,24,0.005736924591321851,3.206155819172812e-5,4213.746870012968,16,1,8522
1946-143,43,0.02562004350421294,3.613238907356554e-5,106454.50343957935,13,1,8522
1947-001,5,3.1706865548655945e-4,2.796733415370847e-5,1877.2015930182445,65,1,8522
1947-002,11,0.007160188208481052,3.357620118859752e-5,2596.2702918470445,1,1,8522
1947-003,13,0.0050964244025640355,3.182584895452086e-5,4587.698867159249,1,1,8522
1947-004,46,0.011274695782087379,3.384323812102342e-5,21736.7292700076,16,1,8522
1947-005,6,8.43986710255552e-4,2.9254307696808355e-5,2161.580783703008,116,1,8522
1947-006,3,1.5547998553459337e-4,2.608105993427573e-5,364.8378314360497,193,1,8522
1947-007,5,6.094598759473706e-4,2.7722333111554667e-5,1509.8252211457873,43,1,8522
1947-008,11,5.948040368373404e-4,2.8847540747151304e-5,4112.208141153539,55,1,8522
1947-009,23,0.04879690283425173,3.4985830738550885e-5,2590.041956597835,49,1,8522
1947-010,6,0.0051404143013471,3.192848020434228e-5,10377.213022278462,42,1,8522
1947-011,14,0.005879417117574104,3.299241174529858e-5,10431.46275362709,42,1,8522
1947-012,8,0.0031905410435797013,3.0620368669238775e-5,1445.8478755191472,1,1,8522
1947-013,10,0.0107403945442538,3.108099707838628e-5,2215.696822927761,15,1,8522
1947-014,13,0.0014406840491278448,2.9524653085326247e-5,916.4093968618953,28,1,8522
1947-015,4,0.0033274792284408976,3.0185945423810673e-5,771.821834608839,1,1,8522
1947-017,7,0.008982665820276499,3.055020926893349e-5,34.53920989601731,5,1,8522
1947-018,12,0.013368739159875525,3.212128999100604e-5,1561.5005405928134,125,1,8522
1947-019,10,0.0017941441534770782,3.079102133817779e-5,2082.104807860332,153,1,8522
1947-020,12,0.011459644559568804,3.2167787177920035e-5,7304.376060465785,19,1,8522
1947-021,33,0.09482544962458131,3.420206580477461e-5,4518.326919808282,89,1,8522
1947-022,43,0.11373681257573687,3.603473748693741e-5,10682.102660438723,5,1,8522
1947-023,5,3.0285451225481774e-4,2.7960296379141617e-5,1055.7360827383857,144,1,8522
1947-024,11,0.02007973812514666,3.2282015689059623e-05,1772.8380248951648,29,1,8522
1947-025,17,0.048646409408274645,3.435481654527965e-5,5635.332142906098,29,1,8522
1947-026,10,0.003802565259587278,3.152485735002049e-5,3640.83423394044,1,1,8522
1947-027,23,0.03842870286526399,3.3754134881522986e-5,3093.1171987669213,5,1,8522
1947-028,7,0.01387842889448942,3.1453464599125595e-5,514.2199224516539,5,1,8522
1947-029,1,1.0839263201722545e-5,2.2324916839684775e-5,0,242,1,8522
1947-030,18,0.008438580015064838,3.318620781203332e-5,18228.89389245205,1,1,8522
1947-031,116,0.33176653773197673,3.678363863753403e-5,22359.80404027651,89,1,8522
1947-032,15,0.006408408451850973,3.261365860022177e-5,4609.877601821755,1,1,8522
1947-033,11,0.006833712496191107,3.155967935365777e-5,2641.507222016748,15,1,8522
1947-034,3,1.6792799525680016e-4,2.5960539979231568e-5,232.75819700019963,32,1,8522
1947-035,11,0.005005321609045862,3.2275764128715745e-5,2390.423318879863,49,1,8522
1947-036,18,0.09407783807414395,3.581148832545481e-5,2475.4307783659324,29,1,8522
1947-037,39,0.05773428821358678,3.8117019249094724e-5,29538.786208715683,1,1,8522
1947-038,6,0.0021209097360980872,2.912989018031402e-5,1787.057966125021,30,1,8522
1947-039,9,4.828939511909828e-4,2.8089098620825256e-5,5615.058497554695,147,1,8522
1947-040,10,0.019477076183943138,3.374388392103931e-5,4055.601665812304,1,1,8522
1947-041,2,0.0015865579455444847,2.731270313822959e-5,0,29,1,8522
1947-042,6,0.0020147325131565316,3.0195060088169576e-5,973.4972446295607,1,1,8522
1947-043,1,5.045033078132144e-7,2.0214271275520517e-5,0,218,1,8522
1947-044,3,8.235528432557687e-4,2.779630865021125e-5,5906.720001674909,113,1,8522
1947-045,8,0.03253215553385774,3.187250996015936e-5,1625.435682976492,29,1,8522
1947-046,44,0.08503903011416879,3.628052098828139e-5,30612.24659730618,29,1,8522
1947-047,48,0.16604827014514478,3.6153289949385395e-5,7354.732959198,60,1,8522
1947-048,93,0.1678732439504675,3.854307188282906e-5,72317.98082819919,49,1,8522
1947-049,14,0.009634359406808615,3.1750063500127e-5,2373.875275315662,16,1,8522
1947-050,50,0.0395302157439782,3.7076860331467135e-5,71324.53417565771,16,1,8522
1947-051,2,0.00467524382155759,2.9468969175458244e-5,8519.999999999998,226,1,8522
1947-052,2,2.7689318304989377e-4,2.6008478764077088e-5,52.1095252211148,19,1,8522
1947-053,12,0.015928858899332377,3.484320557491289e-5,12027.627038020215,29,1,8522
1947-054,6,0.001885506282305064,3.0030030030030033e-5,2679.4249426351303,36,1,8522
1947-055,7,0.002125277973645562,3.080050512828411e-5,2068.5253798603203,1,1,8522
1947-056,3,7.989291821481401e-4,2.9260299625468165e-5,327.6007483285373,1,1,8522
1947-057,4,0.00409642615408754,3.0328763799587527e-5,46.28225029568403,1,1,8522
1947-058,14,4.172281770170015e-4,2.790100722636087e-5,4252.92920625979,6,1,8522
1947-059,85,0.42396352914909113,3.905487209529389e-5,38502.24062900133,29,1,8522
1947-060,11,0.009041476896488139,3.1719850282306667e-5,5342.551872273223,3,1,8522
1947-061,2,0.00113512488477303,2.7238307956309754e-5,0,5,1,8522
1947-062,12,0.016752341549097133,3.210375935021991e-5,2802.4674717913017,29,1,8522
1947-064,29,0.011410999331604676,3.421259707824421e-5,57239.21357346742,1,1,8522
1947-065,13,0.008400062972851069,3.2926146653057194e-5,20893.61938250859,1,1,8522
1947-066,25,0.04083260357223327,3.373136342170951e-5,6483.617591115622,125,1,8522
1947-067,31,0.01460060040736091,3.4437633445829606e-5,24110.90565453742,1,1,8522
1947-068,21,0.04986286322023361,3.508895048949086e-5,6401.220025530685,5,1,8522
1947-069,10,0.009030172324878245,3.371544167228591e-5,8675.907408555828,1,1,8522
1947-070,3,2.8112998039133123e-5,2.442002442002442e-5,8700.100843691858,217,1,8522
1947-071,6,4.232566230177767e-4,2.8089098620825256e-5,234.55666770910736,55,1,8522
1947-072,71,0.17186412951347377,3.858917959404183e-5,38296.00254729142,29,1,8522
1947-073,21,0.034755619712152325,3.502136303144918e-5,10247.756138233248,90,1,8522
1947-074,36,0.008135642211589097,3.4168175761096116e-5,25047.795661079777,16,1,8522
1947-075,18,0.024023099392039515,3.4789869190091844e-5,9483.059672648998,29,1,8522
1947-076,20,0.0057701831965754945,3.215847697453049e-5,5371.816985980631,16,1,8522
1947-077,22,0.010637211894191735,3.4190371991247264e-5,12523.450530102515,16,1,8522
1947-078,49,0.037919929967501924,3.594407102548434e-5,46438.05294416635,16,1,8522
1947-079,10,9.372005532140078e-4,2.9522038201517436e-5,4135.936322053948,30,1,8522
1947-081,33,0.022384426007128273,3.567224342738915e-5,14490.210820938893,16,1,8522
1947-082,7,0.008068397075425405,3.226326826907566e-5,2165.304416367125,1,1,8522
1947-083,5,0.0011541453471718233,2.9891791713995336e-5,1085.0994511834454,49,1,8522
1947-084,40,0.07635240895248824,3.6451119049354813e-5,16674.633147417608,5,1,8522
1947-087,4,0.005192705272238582,3.0024620188554618e-5,107.98155313597378,29,1,8522
1947-088,3,3.439273472277067e-4,2.791970293436078e-5,8796.30083212487,219,1,8522
1947-089,14,0.009548882927024209,3.2445410596671096e-5,9207.149983350051,31,1,8522
1947-090,6,0.004678328010656953,3.027734043841589e-5,1636.3022635700638,31,1,8522
1947-091,46,0.052119317031087485,3.582560097445635e-5,30774.583220002278,15,1,8522
1947-092,33,0.07069691009687609,3.62515860068878e-5,11669.469605741317,29,1,8522
1947-093,9,0.008485229255237066,3.107423635064168e-5,1303.356772010105,5,1,8522
1947-094,4,3.545858232877157e-4,2.7873010563871005e-5,1441.7207790667608,52,1,8522
1947-095,26,0.0074823733270101625,3.314990386527879e-5,5230.700418655521,16,1,8522
1947-096,15,0.004165324363601826,3.146435089044113e-5,9286.640615534281,31,1,8522
1947-097,2,8.452754336870812e-4,2.6578779502445246e-5,0,170,1,8522
1947-098,49,0.298008817300227,3.695354938841876e-5,4651.666723795874,29,1,8522
1947-099,10,0.0014408957545598987,3.0581039755351684e-5,19012.748863145203,7,1,8522
1947-100,2,3.266224605344173e-4,2.7681660899653978e-5,1156.8049115451781,200,1,8522
1947-101,5,0.0012428421201373693,2.872572676088705e-5,1266.095682527918,2,1,8522
1947-102,24,0.010075613260072449,3.1940718027341254e-5,4952.59923064875,15,1,8522
1947-103,18,0.01156653187023038,3.1677648251393816e-05,2855.6520939708535,125,1,8522
1947-104,37,0.11383163542674374,3.422430610219378e-5,2771.783374090574,89,1,8522
1947-105,2,5.951587598170783e-5,2.53350561171493e-5,17.38771877515779,142,1,8522
1947-106,22,0.03245874984204055,3.397085300811903e-5,5743.775504976598,125,1,8522
1947-107,23,0.030805367558325154,3.337226764558652e-5,4877.959716355789,125,1,8522
1947-108,26,0.05007366460017497,3.645643456069996e-5,21890.888766320066,1,1,8522
1947-109,5,0.001369767757931926,2.8380871292748687e-5,145.008113451315,49,1,8522
1947-110,33,0.05732988781940077,3.663674665689687e-5,23505.64302025691,49,1,8522
1947-111,3,0.0011318477845689893,2.7659456768269073e-5,20.315097961265,19,1,8522
1947-112,19,0.0037997831618895406,3.0154996682950367e-5,2971.1383087178124,15,1,8522
1947-113,43,0.15973301485452657,3.8261401897765534e-5,36876.978357557244,29,1,8522
1947-114,25,0.04091674996928092,3.62437026566634e-5,18447.982247012198,1,1,8522
1947-115,15,0.007953863622461223,3.260196263815082e-5,4415.17658859936,49,1,8522
1947-116,8,0.0044438485381449785,3.09626281078738e-5,7336.558700913139,5,1,8522
1947-117,7,0.0071121966287510455,3.0867055591567124e-5,339.96765791422706,125,1,8522
1948-001,8,0.033072165802166785,3.330557868442964e-5,85.67290841546043,25,1,8522
1948-002,2,2.1046860530757747e-5,2.3366669782222638e-5,60.65141696614563,163,1,8522
1948-003,2,2.9669109963989832e-5,2.4710882672729072e-5,185.40134274488753,148,1,8522
1948-004,3,7.997143451237592e-4,2.9218407596785974e-5,2725.408983590444,102,1,8522
1948-005,3,2.416664542604246e-4,2.6993467580845435e-5,16.579972387642336,55,1,8522
1948-006,6,7.477225430416489e-4,2.8399409292286722e-5,3147.2775309713948,148,1,8522
1948-007,4,0.009163356913066445,3.2055391716886776e-05,594.1474427155214,1,1,8522
1948-008,2,0.0020547606089144506,2.638104785522081e-5,8520,224,1,8522
1948-009,3,9.152560472685609e-5,2.4943254096929487e-5,0,2,1,8522
1948-010,8,0.011730039304332817,3.356493135971537e-5,2172.436625542096,1,1,8522
1948-011,12,0.019080048182869673,3.260940455227288e-5,1796.1641057265113,5,1,8522
1948-012,22,0.03774603769048978,3.3593120128997585e-5,10290.993894349122,125,1,8522
1948-013,63,0.22092195037353493,3.499562554680665e-5,4421.932627438893,89,1,8522
1948-014,22,0.09043114174948115,3.7238400238325756e-5,6798.651484483602,29,1,8522
1948-015,7,0.01599315105752555,3.219056816352809e-5,748.9191474333899,4,1,8522
1948-016,8,0.005400702783025691,3.102795618852586e-5,2200.733010825038,5,1,8522
1948-017,12,8.46207887252702e-4,2.9378929431811505e-5,6227.931117055829,55,1,8522
1948-018,25,0.06487680441527642,3.5606195478013175e-5,6369.933548208482,29,1,8522
1948-019,7,0.018835992021744425,3.279333639404473e-5,802.0571363512021,29,1,8522
1948-020,2,6.89923629321739e-4,2.6902692959565253e-5,3241.807822806825,163,1,8522
1948-021,5,2.5313935478738793e-4,2.6830511657857317e-5,3545.3964481842977,79,1,8522
1948-022,8,0.01545012461587767,3.4537542308489326e-5,2069.57037677708,1,1,8522
1948-023,13,0.010006780832909816,3.307862789851477e-5,6248.4944700858005,1,1,8522
1948-024,38,0.01810612817771828,3.617028972402069e-5,137354.75725458525,1,1,8522
1948-025,14,0.004486391061887582,3.242437015660971e-5,12109.089580302356,1,1,8522
1948-026,2,1.7281466549759668e-5,2.3993473775133165e-5,416.22637484588626,162,1,8522
1948-027,12,0.0028241443123246286,3.08546744831842e-5,934.771707553111,36,1,8522
1948-028,10,0.0018673268554086715,3.0426580660865334e-5,4056.3176586084287,6,1,8522
1948-029,25,0.002578774777793361,3.116429818000499e-5,35189.95925087102,55,1,8522
1948-030,80,0.46376090084718724,3.873416740907154e-5,19182.23404629309,29,1,8522
1948-031,36,0.12459181914061765,3.69890882189754e-5,14122.774915385064,29,1,8522
1948-032,2,5.237657247296314e-6,2.2733989587832767e-5,0,295,1,8522
1948-033,5,2.9793767956419606e-4,2.736577089376608e-5,588.9281826192765,30,1,8522
1948-034,10,0.01194704140966393,3.2573289902280134e-5,866.8324548200234,49,1,8522
1948-035,15,0.0043823235283157085,3.098085383233162e-5,3183.8381897764357,15,1,8522
1948-037,8,0.002844164565265996,3.104433130510369e-5,2120.3449713778873,49,1,8522
1948-038,7,0.0023907946767049116,3.0352698354883748e-5,1223.3833201951068,1,1,8522
1948-039,7,4.0756460419057075e-4,2.7891668758541825e-5,414.52262434247456,55,1,8522
1948-040,4,0.0015079572381711283,2.8696874910322265e-5,253.82219973078017,187,1,8522
1948-041,12,0.03867678280850017,3.4592500345925e-5,2378.3136100235583,29,1,8522
1948-042,6,0.00542239650537355,3.053621595211921e-5,380.2103389696534,36,1,8522
1948-043,24,0.010551490944646944,3.404371212637026e-5,7698.748513845246,36,1,8522
1948-044,29,0.03765224162523908,3.646175162254794e-5,32723.659768000176,1,1,8522
1948-045,15,0.005852375114344267,3.2918559483836984e-5,2200.2596455687008,1,1,8522
1948-046,19,0.0064647138970958746,3.2114069173705004e-5,3955.0970097129684,36,1,8522
1948-047,6,3.0563034285966924e-4,2.8027691359062753e-5,4618.647274130782,71,1,8522
1948-048,8,0.004294036009186215,3.1501023783272954e-5,1531.80082852217,54,1,8522
1948-049,20,0.019515531177501638,3.444712366517396e-5,13370.235442220051,49,1,8522
1948-051,1,5.9789388740899115e-6,2.249263366247554e-5,0,222,1,8522
1948-052,3,2.2575030144119933e-4,2.6727248429774155e-5,141.29433785754622,194,1,8522
1948-053,33,0.046171762615814564,3.5949239673580906e-5,24288.42957578485,5,1,8522
1948-054,15,0.013271778170926857,3.4252440486384655e-5,3179.315472378309,16,1,8522
1948-056,59,0.24921975797155602,3.793482796555518e-5,31332.82915114975,29,1,8522
1948-057,2,2.4253764525637e-5,2.4149339515564248e-5,506.784473870717,162,1,8522
1948-058,6,2.1321249285054076e-4,2.697890249824637e-5,2490.938488381939,82,1,8522
1948-059,58,0.0415931450739125,3.508648819339673e-5,35169.84085468743,15,1,8522
1948-060,2,3.783024443888874e-4,2.7542139473394295e-5,104.9672049369592,28,1,8522
1948-061,2,1.0979824241728241e-4,2.5876568766981498e-5,1551.9649818385003,186,1,8522
1948-062,10,0.008545337188136512,3.3142213236999966e-5,3043.905154665569,5,1,8522
1948-063,2,1.3376284292440602e-5,2.3018668139861426e-5,1349.374191929509,12,1,8522
1948-064,9,0.0012439076466984258,2.979560216911984e-5,2000.7562155150144,109,1,8522
1948-065,6,0.0012934232418006276,2.791892344631191e-5,111.87151328455239,31,1,8522
1948-066,8,0.007167186699372101,3.228722717293039e-5,2488.825182490259,153,1,8522
1948-067,29,0.019866458094210976,3.314441019522058e-5,3443.0241750251034,19,1,8522
1948-068,4,0.0011293666950544935,2.8263757383906615e-5,199.58565501952546,187,1,8522
1948-069,11,0.009605048613904116,3.266799516513671e-5,3890.4793647840156,5,1,8522
1948-070,16,0.009305141004234272,3.301746623964077e-5,3516.9160630059464,29,1,8522
1948-071,11,0.020094564893754368,3.177831447820008e-5,7317.686849520678,49,1,8522
1948-072,1,3.687381625112949e-5,2.1539654503941758e-5,0,223,1,8522
1948-073,2,6.681627360874693e-4,2.8258166610150335e-5,56.34182289065849,1,1,8522
1948-074,86,0.4225448758978538,3.856239395341663e-5,35420.68800396615,29,1,8522
1948-075,2,0.005369220501728309,2.9711501322161807e-5,2918.9622602439017,195,1,8522
1948-076,9,0.0018593126840154705,3.0336124256764958e-5,1221.843715858227,37,1,8522
1948-077,24,0.00869253092340885,3.492961682210346e-5,33862.79416399118,7,1,8522
1948-079,8,0.004833273491044889,3.079102133817779e-5,3879.484904817616,7,1,8522
1948-080,11,0.0013680592712336855,3.001921229586936e-5,6018.15654513475,76,1,8522
1948-081,18,0.04272288027659337,3.3977778532839525e-5,1864.8426614725859,49,1,8522
1948-082,4,7.583241940113556e-4,2.7736942834160818e-5,18.57834932586407,15,1,8522
